k_train,domain,method,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
1,content,RF if RF predicts 1/5 else LLM,0.46745562130177515,0.3406525923499785,0.2364570127627782,0.35837272845556656,0.680103550295858,0.4838536369893762,0.05341073238806791,2704
1,content,LLM if LLM predicts 2-4 else RF,0.4619082840236686,0.327475606440616,0.226280260423816,0.35029184536066515,0.680103550295858,0.4759553605048225,0.05756501952635219,2704
1,content,Oracle true 1/5 RF else LLM,0.4818786982248521,0.35231635887148693,0.25922269991267033,0.344544272372621,0.6630917159763313,0.47921476551471365,0.015483690924783793,2704
1,content,RF selected,0.45710059171597633,0.347226263956558,0.23831994395438216,0.374601378116574,0.6523668639053254,0.49553303974126384,,2704
1,content,LLM only,0.4619082840236686,0.32746554845080694,0.22626747885585008,0.35015587409395765,0.680103550295858,0.4759553605048225,0.05583073858057013,2704
1,coping,RF if RF predicts 1/5 else LLM,0.42270710059171596,0.38043380164712665,0.23365026246147325,0.46320346007769286,0.6105769230769231,0.511780508267614,0.07835524932751146,2704
1,coping,LLM if LLM predicts 2-4 else RF,0.38979289940828404,0.34670256538799926,0.18511419743446866,0.4265975820379966,0.606508875739645,0.5068094945867488,0.05218110787093471,2704
1,coping,Oracle true 1/5 RF else LLM,0.46079881656804733,0.42490482446651273,0.28265160557803726,0.47624628135187397,0.6150147928994083,0.5207469391014888,0.2481265240128467,2704
1,coping,RF selected,0.4193786982248521,0.3810819407597711,0.2326274332872761,0.45792154957660114,0.6083579881656804,0.5098270310992055,,2704
1,coping,LLM only,0.38979289940828404,0.34670256538799926,0.18511419743446866,0.4265975820379966,0.606508875739645,0.5068094945867488,0.05218110787093471,2704
1,quitting,RF if RF predicts 1/5 else LLM,0.43047337278106507,0.379064754012306,0.24692074941165687,0.49805653808652484,0.628698224852071,0.5247653728273063,0.10968547839445397,2704
1,quitting,LLM if LLM predicts 2-4 else RF,0.40014792899408286,0.3555860629734407,0.2047360212830116,0.47477015272985656,0.625,0.521997198342715,0.07265327082039638,2704
1,quitting,Oracle true 1/5 RF else LLM,0.46893491124260356,0.42515502314474174,0.2971755752410372,0.5148110099693506,0.6312869822485208,0.5306536415565274,0.2800694935392028,2704
1,quitting,RF selected,0.4297337278106509,0.3798882738351702,0.24720991965976857,0.4933679812486951,0.6298076923076923,0.5214929446824087,,2704
1,quitting,LLM only,0.4005177514792899,0.35584554474164837,0.20522790488520437,0.4750179540282009,0.625,0.521997198342715,0.07452903498726063,2704
3,content,RF if RF predicts 1/5 else LLM,0.4966698382492864,0.3480207638437358,0.2702011616841137,0.39187966206470226,0.7017126546146527,0.47577998986735365,-0.030377367101792594,2102
3,content,LLM if LLM predicts 2-4 else RF,0.489058039961941,0.33920503941996666,0.2645422080270212,0.3979642954968916,0.6850618458610847,0.4606649667225636,0.04037117082626594,2102
3,content,Oracle true 1/5 RF else LLM,0.49762131303520457,0.3553369274113497,0.27622649876420824,0.389995574022331,0.6803044719314938,0.4526182217248194,-0.012181553623638082,2102
3,content,RF selected,0.5071360608943863,0.3622991459517544,0.2938861694980326,0.40065944054744707,0.6907706945765937,0.48581004794082444,,2102
3,content,LLM only,0.48525214081826834,0.3341881117126067,0.25778047263397463,0.3811302693116563,0.6902949571836346,0.4587382715674013,0.03256154816541405,2102
3,coping,RF if RF predicts 1/5 else LLM,0.43149381541389153,0.38467030359582305,0.24204985007801616,0.5008540924297116,0.6322549952426261,0.5160224995281594,0.017026543236097848,2102
3,coping,LLM if LLM predicts 2-4 else RF,0.4200761179828735,0.3590818501462839,0.22402773992307923,0.46925675084502116,0.6179828734538535,0.5001994447001589,0.011365600252787081,2102
3,coping,Oracle true 1/5 RF else LLM,0.4262607040913416,0.3809928291960337,0.2354284204538668,0.5146998675483141,0.6403425309229306,0.533122784096165,0.06443514388776496,2102
3,coping,RF selected,0.44433872502378685,0.39886980429319563,0.2608685442475879,0.5164871789104784,0.6465271170313986,0.5386711175001543,,2102
3,coping,LLM only,0.4143672692673644,0.36119998231653055,0.21668667158086252,0.4748572192171605,0.6217887725975262,0.5044770608823858,0.016306426568457325,2102
3,quitting,RF if RF predicts 1/5 else LLM,0.4267364414843007,0.37689811362570647,0.23385425835485463,0.5209815008779745,0.6550903901046622,0.5304851351660623,0.006665637262557924,2102
3,quitting,LLM if LLM predicts 2-4 else RF,0.4134157944814462,0.3589168369957517,0.2173560916452466,0.5041202645429476,0.6384395813510942,0.5184346760227448,-0.029994133872262425,2102
3,quitting,Oracle true 1/5 RF else LLM,0.4457659372026641,0.39527833770819465,0.26098356064671,0.5357710521696609,0.6498572787821123,0.533201687977795,0.0887744922445531,2102
3,quitting,RF selected,0.4462416745956232,0.3979846318111885,0.25956663339843744,0.5210813676998152,0.6712654614652712,0.5537035175261571,,2102
3,quitting,LLM only,0.4138915318744053,0.36320682456649617,0.21888245279809082,0.5155704601003067,0.6446241674595623,0.5283261884135931,-0.0036122369668061434,2102
