Domain,K,Model,LLM Selection (Human Rating),LLM SE,LLM CI Lower,LLM CI Upper,Random Mean,Random SE,Random CI Lower,Random CI Upper,Human Oracle (Human Rating),Human Oracle SE,Human Oracle CI Lower,Human Oracle CI Upper,Bootstrap_N,N Messages,LLM_minus_Random,Oracle_minus_LLM
Content,5,Grok-4-Fast,4.683333333333334,0.4342585343799075,3.2333333333333334,4.9,3.945012619047619,0.3106137069933058,3.233166666666666,4.5,5.0,0.0151523491819504,4.99875,5.0,2000,108,0.7383207142857144,0.31666666666666643
Content,10,Grok-4-Fast,4.616666666666667,0.306185899453322,3.6833333333333336,4.825,3.942474523809524,0.2246258640884213,3.4666666666666663,4.341845238095237,5.0,0.0592557316381892,4.791666666666666,5.0,2000,108,0.6741921428571431,0.38333333333333286
Content,15,Gemini-2.5-Pro,4.55,0.2475158373966503,3.7333333333333334,4.683333333333334,3.953744523809524,0.1825082944319769,3.5802539682539676,4.282559523809524,4.888888888888889,0.082460835510886,4.705555555555555,5.0,2000,108,0.5962554761904757,0.33888888888888946
Content,20,Grok-4-Fast,4.354166666666666,0.2072940034584137,3.8708333333333327,4.6751041666666655,3.94464119047619,0.158610512270068,3.605443452380953,4.241755952380952,4.791666666666667,0.0779358855826215,4.6457291666666665,4.945937499999999,2000,108,0.40952547619047586,0.4375000000000009
Content,25,Grok-4-Fast,4.283333333333333,0.1716038097203353,3.9033333333333338,4.576666666666666,3.944375333333334,0.1416014981289176,3.656654761904762,4.226716666666666,4.733333333333333,0.0676661265545549,4.599916666666665,4.866666666666667,2000,108,0.3389579999999994,0.4500000000000002
Coping,5,Gemini-2.5-Pro,4.4,0.3052143537304295,3.6,4.8,3.706911484593838,0.3518414883885689,2.9663571428571425,4.366666666666666,5.0,0.0416443195033327,4.866666666666667,5.0,2000,108,0.6930885154061626,0.5999999999999996
Coping,10,GPT-4o-mini,4.3166666666666655,0.2894899615826479,3.3166666666666673,4.45,3.711760203081232,0.2428208045714624,3.2166666666666672,4.166666666666667,4.933333333333333,0.0871705761979198,4.716666666666667,5.0,2000,108,0.6049064635854338,0.6166666666666671
Coping,15,GPT-5,4.265079365079365,0.1473383685828725,3.907896825396826,4.477777777777777,3.7113269514472456,0.1995321116117955,3.306984126984127,4.077833333333333,4.8,0.0894086684666191,4.633333333333334,4.977777777777778,2000,108,0.5537524136321195,0.5349206349206348
Coping,20,Gemini-2.5-Pro,4.3100000000000005,0.1113252961949968,4.0600000000000005,4.508333333333333,3.7049192401960784,0.1756251292066774,3.349889880952381,4.037514880952381,4.725,0.0762100106086551,4.566666666666666,4.8585416666666665,2000,108,0.6050807598039221,0.41499999999999915
Coping,25,Gemini-2.5-Pro,4.261333333333333,0.117016853423765,4.005983333333334,4.4600333333333335,3.7040930672268906,0.1564354788758156,3.38,3.9996067226890752,4.673333333333333,0.0804815366834965,4.472752380952381,4.786666666666667,2000,108,0.5572402661064424,0.4119999999999999
Quitting,5,GPT-5,4.45,0.249346244354759,4.0,5.0,3.721550728291316,0.370843940115806,2.933333333333333,4.35,5.0,0.0303154434286776,4.883333333333334,5.0,2000,108,0.7284492717086843,0.5499999999999998
Quitting,10,GPT-5,4.6,0.1672715479039677,4.191666666666666,4.85,3.726930357142858,0.2614159477302333,3.195178571428571,4.1917069327731085,4.941666666666666,0.0816133444390256,4.725,5.0,2000,108,0.8730696428571418,0.3416666666666668
Quitting,15,Gemini-2.5-Pro,4.4622222222222225,0.1263627242852791,4.161,4.651138888888889,3.731079901960785,0.2051089561474818,3.311078431372549,4.105583333333334,4.812222222222222,0.0860576275841837,4.642166666666666,4.966666666666667,2000,108,0.7311423202614376,0.34999999999999964
Quitting,20,Gemini-2.5-Pro,4.384166666666667,0.1179402423213811,4.113273809523809,4.585979166666665,3.7284485434173664,0.1777604558656925,3.387395833333334,4.058189950980392,4.734166666666667,0.0770404451795693,4.572479166666667,4.88,2000,108,0.6557181232493008,0.34999999999999964
Quitting,25,Gemini-2.5-Pro,4.3406666666666665,0.1239405886804992,4.0353,4.52735,3.7251373137254906,0.1591309444503528,3.406563725490196,4.02335,4.667333333333333,0.0790124159756334,4.48342619047619,4.803366666666667,2000,108,0.6155293529411758,0.3266666666666662
